GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S11,HD02_S11,HD01_S12,HD02_S12,HD01_S13,HD02_S13,HD01_S14,HD02_S14,HD01_S15,HD02_S15,HD01_S16,HD02_S16,HD01_S17,HD02_S17,HD01_S18,HD02_S18,HD01_S19,HD02_S19,HD01_S20,HD02_S20,HD01_S21,HD02_S21,HD01_S22,HD02_S22,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25
Id,Id2,Geography,Number; Total population (all races),Percent; Total population (all races),Number; WHITE - White alone or in combination [1],Percent; WHITE - White alone or in combination [1],Number; WHITE - White alone or in combination [1] - Hispanic or Latino,Percent; WHITE - White alone or in combination [1] - Hispanic or Latino,Number; WHITE - White alone,Percent; WHITE - White alone,Number; WHITE - White alone - Hispanic or Latino,Percent; WHITE - White alone - Hispanic or Latino,Number; BLACK OR AFRICAN AMERICAN - Black or African American alone or in combination [1],Percent; BLACK OR AFRICAN AMERICAN - Black or African American alone or in combination [1],Number; BLACK OR AFRICAN AMERICAN - Black or African American alone or in combination [1] - Hispanic or Latino,Percent; BLACK OR AFRICAN AMERICAN - Black or African American alone or in combination [1] - Hispanic or Latino,Number; BLACK OR AFRICAN AMERICAN - Black or African American alone,Percent; BLACK OR AFRICAN AMERICAN - Black or African American alone,Number; BLACK OR AFRICAN AMERICAN - Black or African American alone - Hispanic or Latino,Percent; BLACK OR AFRICAN AMERICAN - Black or African American alone - Hispanic or Latino,Number; AMERICAN INDIAN AND ALASKA NATIVE - American Indian and Alaska Native alone or in combination [1],Percent; AMERICAN INDIAN AND ALASKA NATIVE - American Indian and Alaska Native alone or in combination [1],Number; AMERICAN INDIAN AND ALASKA NATIVE - American Indian and Alaska Native alone or in combination [1] - Hispanic or Latino,Percent; AMERICAN INDIAN AND ALASKA NATIVE - American Indian and Alaska Native alone or in combination [1] - Hispanic or Latino,Number; AMERICAN INDIAN AND ALASKA NATIVE - American Indian and Alaska Native alone,Percent; AMERICAN INDIAN AND ALASKA NATIVE - American Indian and Alaska Native alone,Number; AMERICAN INDIAN AND ALASKA NATIVE - American Indian and Alaska Native alone - Hispanic or Latino,Percent; AMERICAN INDIAN AND ALASKA NATIVE - American Indian and Alaska Native alone - Hispanic or Latino,Number; ASIAN - Asian alone or in combination [1],Percent; ASIAN - Asian alone or in combination [1],Number; ASIAN - Asian alone or in combination [1] - Hispanic or Latino,Percent; ASIAN - Asian alone or in combination [1] - Hispanic or Latino,Number; ASIAN - Asian alone,Percent; ASIAN - Asian alone,Number; ASIAN - Asian alone - Hispanic or Latino,Percent; ASIAN - Asian alone - Hispanic or Latino,Number; NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER - Native Hawaiian and Other Pacific Islander alone or in combination [1],Percent; NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER - Native Hawaiian and Other Pacific Islander alone or in combination [1],Number; NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER - Native Hawaiian and Other Pacific Islander alone or in combination [1] - Hispanic or Latino,Percent; NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER - Native Hawaiian and Other Pacific Islander alone or in combination [1] - Hispanic or Latino,Number; NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER - Native Hawaiian and Other Pacific Islander alone,Percent; NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER - Native Hawaiian and Other Pacific Islander alone,Number; NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER - Native Hawaiian and Other Pacific Islander alone - Hispanic or Latino,Percent; NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER - Native Hawaiian and Other Pacific Islander alone - Hispanic or Latino,Number; SOME OTHER RACE - Some Other Race alone or in combination [1],Percent; SOME OTHER RACE - Some Other Race alone or in combination [1],Number; SOME OTHER RACE - Some Other Race alone or in combination [1] - Hispanic or Latino,Percent; SOME OTHER RACE - Some Other Race alone or in combination [1] - Hispanic or Latino,Number; SOME OTHER RACE - Some Other Race alone,Percent; SOME OTHER RACE - Some Other Race alone,Number; SOME OTHER RACE - Some Other Race alone - Hispanic or Latino,Percent; SOME OTHER RACE - Some Other Race alone - Hispanic or Latino
1000000US370810101001000,370810101001000,"Block 1000, Block Group 1, Census Tract 101, Guilford County, North Carolina",39,100.0,19,48.7,13,33.3,13,33.3,13,33.3,18,46.2,0,0.0,14,35.9,0,0.0,6,15.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,15.4,6,15.4,6,15.4,6,15.4
1000000US370810101001001,370810101001001,"Block 1001, Block Group 1, Census Tract 101, Guilford County, North Carolina",19,100.0,0,0.0,0,0.0,0,0.0,0,0.0,19,100.0,0,0.0,19,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1000000US370810101001002,370810101001002,"Block 1002, Block Group 1, Census Tract 101, Guilford County, North Carolina",38,100.0,7,18.4,0,0.0,3,7.9,0,0.0,31,81.6,0,0.0,29,76.3,0,0.0,4,10.5,0,0.0,1,2.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1000000US370810101001003,370810101001003,"Block 1003, Block Group 1, Census Tract 101, Guilford County, North Carolina",80,100.0,1,1.3,0,0.0,0,0.0,0,0.0,74,92.5,0,0.0,71,88.8,0,0.0,2,2.5,0,0.0,1,1.3,0,0.0,4,5.0,0,0.0,4,5.0,0,0.0,1,1.3,0,0.0,0,0.0,0,0.0,1,1.3,0,0.0,1,1.3,0,0.0
1000000US370810101001004,370810101001004,"Block 1004, Block Group 1, Census Tract 101, Guilford County, North Carolina",51,100.0,1,2.0,1,2.0,1,2.0,1,2.0,38,74.5,0,0.0,38,74.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,7.8,0,0.0,4,7.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,15.7,8,15.7,8,15.7,8,15.7
1000000US370810101001005,370810101001005,"Block 1005, Block Group 1, Census Tract 101, Guilford County, North Carolina",123,100.0,11,8.9,6,4.9,11,8.9,6,4.9,55,44.7,0,0.0,50,40.7,0,0.0,5,4.1,0,0.0,0,0.0,0,0.0,57,46.3,0,0.0,56,45.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8,0,0.0,0,0.0,0,0.0
1000000US370810101001006,370810101001006,"Block 1006, Block Group 1, Census Tract 101, Guilford County, North Carolina",28,100.0,3,10.7,0,0.0,3,10.7,0,0.0,25,89.3,0,0.0,25,89.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1000000US370810101001007,370810101001007,"Block 1007, Block Group 1, Census Tract 101, Guilford County, North Carolina",0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
1000000US370810101001008,370810101001008,"Block 1008, Block Group 1, Census Tract 101, Guilford County, North Carolina",0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
1000000US370810101001009,370810101001009,"Block 1009, Block Group 1, Census Tract 101, Guilford County, North Carolina",0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
